Filename  Powerreq Sreq Wingspan
sd8020 304.22 5.0370 3.1740 
sg6040 406.75 3.1767 2.5206 
sg6042 409.87 3.2759 2.5597 
sg6043 473.79 2.9591 2.4328 
sg6050 351.27 4.0159 2.8340 
sg6051 369.11 3.7045 2.7220 
sm701 410.40 3.1574 2.5129 
spicasm 421.35 3.4883 2.6413 
stcyr171 313.12 4.8829 3.1250 
stcyr172 332.72 4.2059 2.9003 
ste87391 369.57 4.0789 2.8562 
tempest1 361.71 3.7977 2.7560 
tempest2 327.34 4.5433 3.0144 
th25816 536.43 12.2835 4.9565 
trainer60 359.95 3.8392 2.7710 
tsagi12 347.26 3.9885 2.8244 
ua79sfm 325.56 7.2308 3.8028 
ui1720 384.37 3.7232 2.7288 
ultimate 287.73 5.9153 3.4395 
us1000root 281.93 8.1120 4.0279 
usa27 394.99 4.0836 2.8578 
usa27m2 430.58 3.3542 2.5900 
usa28 374.69 3.5771 2.6747 
usa33 381.17 3.8518 2.7755 
usa35b 371.31 3.7540 2.7401 
usa40 390.87 3.4840 2.6397 
usa40b 416.10 3.1390 2.5056 
usa45 367.80 3.7540 2.7401 
usa45m 339.81 4.5923 3.0306 
usa48 338.23 4.2186 2.9047 
usnps4 458.17 3.0445 2.4676 
v23010 339.58 4.2621 2.9196 
v43012 402.51 3.3719 2.5969 
v43015 368.52 3.5110 2.6499 
vr1 316.58 4.6999 3.0659 
vr11x 375.47 3.6967 2.7191 
vr12 366.71 3.7331 2.7324 
vr5 363.66 3.8508 2.7752 
vr7 381.02 3.5233 2.6545 
vr7b 345.49 3.7772 2.7485 
wb13535sm 395.62 3.3154 2.5750 
wb140 403.37 3.2821 2.5621 
whitcomb 367.52 3.9327 2.8045 
