Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  WF  WFs
fx77w121   3.70 0.1113    3  38.19    3 -0.3864    9 1.47    5 
goe535   3.65 0.1053    3  50.89    6 -0.7687    2 1.81    1 
naca634421   3.65 0.1285    2  28.68    1 -0.4719    8 1.35    8 
e435   3.60 0.1213    2  41.79    4 -0.8722    1 1.54    4 
dfvlrr4   3.60 0.1134    3  32.61    2 -0.5649    6 1.45    6 
mh102   3.55 0.0966    4  38.35    3 -0.3701    9 1.51    4 
ah83150q   3.55 0.1398    1  32.65    2 -0.5078    7 1.40    7 
goe683   3.50 0.1210    2  38.38    3 -0.4781    8 1.48    5 
e858   3.50 0.1280    2  37.79    3 -0.6722    4 1.49    5 
goe481a   3.45 0.1067    3  42.85    4 -0.6954    3 1.59    3 
r1082   3.45 0.1676    1  21.11    1 -0.3485   10 1.33    8 
